File Name,Object,Material,Poisson Ratio,Young's Modulus,Force,Axis Fixed,,,Point of Application,,,,,
,,,,,100-200 N,x,y,z,x,y,z,,,
cube_00070,cube,Clay,0.41,0.1,2000,0,1,0,0.03,0.08,-0.2,,,-0.1
cube_00071,cube,Clay,0.41,0.1,2500,0,1,0,-0.055,0.05,-0.2,,,-0.1
cube_00072,cube,Clay,0.41,0.1,3000,0,1,0,0.016,0.076,-0.2,,,-0.1
cube_00073,cube,Clay,0.42,0.05,,0,1,0,,,,,,
cube_00074,cube,Clay,0.42,0.05,,0,1,0,,,,,,
cube_00075,cube,Clay,0.42,0.05,,0,1,0,,,,,,
cube_00076,cube,Clay,0.42,0.05,,0,1,0,,,,,,
cube_00077,cube,Clay,0.42,0.075,,0,1,0,,,,,,
cube_00078,cube,Clay,0.42,0.075,,0,1,0,,,,,,
cube_00079,cube,Clay,0.42,0.075,,0,1,0,,,,,,
cube_00080,cube,Clay,0.42,0.075,,0,1,0,,,,,,
cube_00081,cube,Clay,0.42,0.1,,0,1,0,,,,,,
cube_00082,cube,Clay,0.42,0.1,,0,1,0,,,,,,
cube_00083,cube,Clay,0.42,0.1,,0,1,0,,,,,,
cube_00084,cube,Clay,0.43,0.1,,0,1,0,,,,,,
cube_00085,cube,Clay,0.43,0.05,,0,1,0,,,,,,
cube_00086,cube,Clay,0.43,0.05,,0,1,0,,,,,,
cube_00087,cube,Clay,0.43,0.05,,0,1,0,,,,,,
cube_00088,cube,Clay,0.43,0.05,,0,1,0,,,,,,
cube_00089,cube,Clay,0.43,0.075,,0,1,0,,,,,,
cube_00090,cube,Clay,0.43,0.075,,0,1,0,,,,,,
cube_00091,cube,Clay,0.43,0.075,,0,1,0,,,,,,
cube_00092,cube,Clay,0.43,0.075,,0,1,0,,,,,,
cube_00093,cube,Clay,0.43,0.1,,0,1,0,,,,,,
cube_00094,cube,Clay,0.43,0.1,,0,1,0,,,,,,
cube_00095,cube,Clay,0.43,0.1,,0,1,0,,,,,,
cube_00096,cube,Clay,0.43,0.1,,0,1,0,,,,,,
cube_00097,cube,Steel,0.28,190,100,0,1,0,0.03,0.04,0.2,,,0.1
cube_00098,cube,Steel,0.28,190,300,0,1,0,-0.01,0.085,0.2,,,0.1
cube_00099,cube,Steel,0.28,190,500,0,1,0,0.03,-0.039,-0.2,,,-0.1
cube_00100,cube,Steel,0.28,190,900,0,1,0,0.005,0.095,0.2,,,0.1
cube_00101,cube,Steel,0.28,200,750,0,1,0,0.075,-0.075,0.2,,,0.1
cube_00102,cube,Steel,0.28,200,850,0,1,0,-0.044,-0.066,0.2,,,0.1
cube_00103,cube,Steel,0.28,200,950,0,1,0,-0.001,0.099,-0.2,,,-0.1
cube_00104,cube,Steel,0.28,200,1050,0,1,0,0.007,0.034,0.2,,,0.1
cube_00105,cube,Steel,0.28,210,400,0,1,0,-0.075,0.025,-0.2,,,-0.1
cube_00106,cube,Steel,0.28,210,600,0,1,0,0.05,0.05,-0.2,,,-0.1
cube_00107,cube,Steel,0.28,210,800,0,1,0,0.05,0.05,0.2,,,0.1
cube_00108,cube,Steel,0.28,210,1000,0,1,0,0.045,0.065,0.2,,,0.1
cube_00109,cube,Steel,0.29,190,250,0,1,0,-0.02,0.03,-0.2,,,-0.1
cube_00110,cube,Steel,0.29,190,450,0,1,0,0.045,0.099,0.2,,,0.1
cube_00111,cube,Steel,0.29,190,650,0,1,0,0.034,0.032,0.2,,,0.1
cube_00112,cube,Steel,0.29,190,850,0,1,0,0.054,-0.78,0.2,,,0.1
cube_00113,cube,Steel,0.29,200,350,0,1,0,0.044,-0.068,0.2,,,0.1
cube_00114,cube,Steel,0.29,200,450,0,1,0,0.004,0.096,-0.2,,,-0.1
cube_00115,cube,Steel,0.29,200,800,0,1,0,0.023,-0.045,0.2,,,0.1
cube_00116,cube,Steel,0.29,200,1000,0,1,0,0.022,0.021,0.2,,,0.1
cube_00117,cube,Steel,0.29,210,600,0,1,0,-0.03,0.05,-0.2,,,-0.1
cube_00118,cube,Steel,0.29,210,700,0,1,0,0.054,0.062,0.2,,,0.1
cube_00119,cube,Steel,0.29,210,800,0,1,0,0.092,0.032,-0.2,,,-0.1
cube_00120,cube,Steel,0.29,210,900,0,1,0,0.023,0.043,0.2,,,0.1
cube_00121,cube,Steel,0.3,190,,0,1,0,,,,,,
cube_00122,cube,Steel,0.3,190,,0,1,0,,,,,,
cube_00123,cube,Steel,0.3,190,,0,1,0,,,,,,
cube_00124,cube,Steel,0.3,190,,0,1,0,,,,,,
cube_00125,cube,Steel,0.3,200,,0,1,0,,,,,,
cube_00126,cube,Steel,0.3,200,,0,1,0,,,,,,
cube_00127,cube,Steel,0.3,200,,0,1,0,,,,,,
cube_00128,cube,Steel,0.3,200,,0,1,0,,,,,,
cube_00129,cube,Steel,0.3,210,,0,1,0,,,,,,
cube_00130,cube,Steel,0.3,210,,0,1,0,,,,,,
cube_00131,cube,Steel,0.3,210,,0,1,0,,,,,,
cube_00132,cube,Steel,0.3,210,,0,1,0,,,,,,
cube_00133,cube,Steel,0.31,190,,0,1,0,,,,,,
cube_00134,cube,Steel,0.31,190,,0,1,0,,,,,,
cube_00135,cube,Steel,0.31,190,,0,1,0,,,,,,
cube_00136,cube,Steel,0.31,190,,0,1,0,,,,,,
cube_00137,cube,Steel,0.31,200,,0,1,0,,,,,,
cube_00138,cube,Steel,0.31,200,,0,1,0,,,,,,
cube_00139,cube,Steel,0.31,200,,0,1,0,,,,,,
cube_00140,cube,Steel,0.31,200,,0,1,0,,,,,,
cube_00141,cube,Steel,0.31,210,,0,1,0,,,,,,
cube_00142,cube,Steel,0.31,210,,0,1,0,,,,,,
cube_00143,cube,Steel,0.31,210,,0,1,0,,,,,,
cube_00144,cube,Steel,0.31,210,,0,1,0,,,,,,
cyl_00001,cylinder,Silicone Rubber,0.46,0.001,1000,0,1,0,0,0,0.1,Done,,
cyl_00002,cylinder,Silicone Rubber,0.46,0.001,1500,0,1,0,0,0.15,0.1,Done,,
cyl_00003,cylinder,Silicone Rubber,0.46,0.001,3000,0,1,0,0,-0.125,0.1,Done,,
cyl_00004,cylinder,Silicone Rubber,0.46,0.001,3000,0,1,0,0,-0.2,0.1,Done,,
cyl_00005,cylinder,Silicone Rubber,0.46,0.02,500,0,1,0,0,0.2,0.1,Done,,
cyl_00006,cylinder,Silicone Rubber,0.46,0.02,1750,0,1,0,0,0.17,0.1,Done,,
cyl_00007,cylinder,Silicone Rubber,0.46,0.02,1300,0,1,0,0,0.01,0.1,Done,,
cyl_00008,cylinder,Silicone Rubber,0.46,0.02,800,0,1,0,0,0.09,0.1,Done,,
cyl_00009,cylinder,Silicone Rubber,0.46,0.035,2000,0,1,0,0,-0.09,0.1,Done,,
cyl_00010,cylinder,Silicone Rubber,0.46,0.035,200,0,1,0,0,-0.15,0.1,Done,,
cyl_00011,cylinder,Silicone Rubber,0.46,0.035,3000,0,1,0,0,-0.2,0.1,Done,,
cyl_00012,cylinder,Silicone Rubber,0.46,0.035,1600,0,1,0,0,0.11,0.1,Done,,
cyl_00013,cylinder,Silicone Rubber,0.47,0.001,1000,0,1,0,0,0.13,0.1,Done,,
cyl_00014,cylinder,Silicone Rubber,0.47,0.001,3000,0,1,0,0,-0.17,0.1,Done,,
cyl_00015,cylinder,Silicone Rubber,0.47,0.001,3000,0,1,0,0,0.11,0.1,Done,,
cyl_00016,cylinder,Silicone Rubber,0.47,0.001,500,0,1,0,0,0.15,0.1,Done,,
cyl_00017,cylinder,Silicone Rubber,0.47,0.02,1300,0,1,0,0,0.13,0.1,Done,,
cyl_00018,cylinder,Silicone Rubber,0.47,0.02,1400,0,1,0,0,-0.16,0.1,Done,,
cyl_00019,cylinder,Silicone Rubber,0.47,0.02,1900,0,1,0,0,-0.12,0.1,Done,,
cyl_00020,cylinder,Silicone Rubber,0.47,0.02,2100,0,1,0,0,0.12,0.1,Done,,
cyl_00021,cylinder,Silicone Rubber,0.47,0.035,2250,0,1,0,0,0.19,0.1,Done,,
cyl_00022,cylinder,Silicone Rubber,0.47,0.035,100,0,1,0,0,-0.18,0.1,Done,,
cyl_00023,cylinder,Silicone Rubber,0.47,0.035,3000,0,1,0,0,0.1,0.1,Done,,
cyl_00024,cylinder,Silicone Rubber,0.47,0.035,2700,0,1,0,0,-0.15,0.1,Done,,
cyl_00025,cylinder,Silicone Rubber,0.48,0.001,,,,,,,,,,
cyl_00026,cylinder,Silicone Rubber,0.48,0.001,,,,,,,,,,
cyl_00027,cylinder,Silicone Rubber,0.48,0.001,,,,,,,,,,
cyl_00028,cylinder,Silicone Rubber,0.48,0.001,,,,,,,,,,
cyl_00029,cylinder,Silicone Rubber,0.48,0.02,,,,,,,,,,
cyl_00030,cylinder,Silicone Rubber,0.48,0.02,,,,,,,,,,
cyl_00031,cylinder,Silicone Rubber,0.48,0.02,,,,,,,,,,
cyl_00032,cylinder,Silicone Rubber,0.48,0.02,,,,,,,,,,
cyl_00033,cylinder,Silicone Rubber,0.48,0.035,,,,,,,,,,
cyl_00034,cylinder,Silicone Rubber,0.48,0.035,,,,,,,,,,
cyl_00035,cylinder,Silicone Rubber,0.48,0.035,,,,,,,,,,
cyl_00036,cylinder,Silicone Rubber,0.48,0.035,,,,,,,,,,
cyl_00037,cylinder,Silicone Rubber,0.49,0.001,,,,,,,,,,
cyl_00038,cylinder,Silicone Rubber,0.49,0.001,,,,,,,,,,
cyl_00039,cylinder,Silicone Rubber,0.49,0.001,,,,,,,,,,
cyl_00040,cylinder,Silicone Rubber,0.49,0.001,,,,,,,,,,
cyl_00041,cylinder,Silicone Rubber,0.49,0.02,,,,,,,,,,
cyl_00042,cylinder,Silicone Rubber,0.49,0.02,,,,,,,,,,
cyl_00043,cylinder,Silicone Rubber,0.49,0.02,,,,,,,,,,
cyl_00044,cylinder,Silicone Rubber,0.49,0.02,,,,,,,,,,
cyl_00045,cylinder,Silicone Rubber,0.49,0.035,,,,,,,,,,
cyl_00046,cylinder,Silicone Rubber,0.49,0.035,,,,,,,,,,
cyl_00047,cylinder,Silicone Rubber,0.49,0.035,,,,,,,,,,
cyl_00048,cylinder,Silicone Rubber,0.49,0.035,,,,,,,,,,
cyl_00049,cylinder,Clay,0.4,0.05,1000,0,1,0,0,0,0.1,Done,,
cyl_00050,cylinder,Clay,0.4,0.05,1500,0,1,0,0,0.15,0.1,Done,,
cyl_00051,cylinder,Clay,0.4,0.05,3000,0,1,0,0,-0.125,0.1,Done,,
cyl_00052,cylinder,Clay,0.4,0.05,3000,0,1,0,0,-0.2,0.1,Done,,
