File Name,Object,Material,Poisson Ratio,Young's Modulus,Force,Axis Fixed,,,Point of Application,,,,,
,,,,,100-200 N,x,y,z,x,y,z,,,
prism_00038,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00039,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00040,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00041,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00042,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00043,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00044,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00045,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00046,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00047,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00048,Prism,Silicone Rubber,,,,,,,,,,,,
prism_00049,Prism,Clay,0.4,0.05,300,0,1,0,-0.05,0,0,,,
prism_00050,Prism,Clay,0.4,0.05,300,0,1,0,-0.05,0,0,,,
prism_00051,Prism,Clay,0.4,0.05,100,0,1,0,-0.007,0.065,0,,,
prism_00052,Prism,Clay,0.4,0.05,200,0,1,0,-0.05,0.054,0,,,
prism_00053,Prism,Clay,0.4,0.075,120,0,1,0,-0.06,-0.036,0,,,
prism_00054,Prism,Clay,0.4,0.075,140,0,1,0,-0.03,0.099,0,,,
prism_00055,Prism,Clay,0.4,0.075,160,0,1,0,-0.02,-0.02,0,,,
prism_00056,Prism,Clay,0.4,0.075,90,0,1,0,-0.015,0.035,0,,,
prism_00057,Prism,Clay,0.4,0.1,70,0,1,0,-0.099,0.077,0,,,
prism_00058,Prism,Clay,0.4,0.1,450,0,1,0,-0.05,0,0,,,
prism_00059,Prism,Clay,0.4,0.1,500,0,1,0,-0.05,0.035,0,,,
prism_00060,Prism,Clay,0.4,0.1,300,0,1,0,-0.07,0.065,0,,,
prism_00061,Prism,Clay,0.41,0.05,200,0,1,0,-0.075,0.099,0,,,
prism_00062,Prism,Clay,0.41,0.05,250,0,1,0,-0.015,-0.099,0,,,
prism_00063,Prism,Clay,0.41,0.05,350,0,1,0,-0.03,-0.063,0,,,
prism_00064,Prism,Clay,0.41,0.05,400,0,1,0,-0.08,0.01,0,,,
prism_00065,Prism,Clay,0.41,0.075,200,0,1,0,-0.093,0.017,0,,,
prism_00066,Prism,Clay,0.41,0.075,100,0,1,0,-0.087,0.032,0,,,
prism_00067,Prism,Clay,0.41,0.075,150,0,1,0,-0.03,-0.09,0,,,
prism_00068,Prism,Clay,0.41,0.075,240,0,1,0,-0.02,0.043,0,,,
prism_00069,Prism,Clay,0.41,0.1,600,0,1,0,-0.05,0.099,0,,,
prism_00070,Prism,Clay,0.41,0.1,850,0,1,0,-0.05,0,0,,,
prism_00071,Prism,Clay,0.41,0.1,250,0,1,0,0,0.099,0,,,
prism_00072,Prism,Clay,0.41,0.1,300,0,1,0,-0.087,0.063,0,,,
prism_00073,Prism,Clay,0.42,0.05,,0,1,0,,,,,,
prism_00074,Prism,Clay,0.42,0.05,,0,1,0,,,,,,
prism_00075,Prism,Clay,0.42,0.05,,0,1,0,,,,,,
prism_00076,Prism,Clay,0.42,0.05,,0,1,0,,,,,,
prism_00077,Prism,Clay,0.42,0.075,,0,1,0,,,,,,
prism_00078,Prism,Clay,0.42,0.075,,0,1,0,,,,,,
prism_00079,Prism,Clay,0.42,0.075,,0,1,0,,,,,,
prism_00080,Prism,Clay,0.42,0.075,,0,1,0,,,,,,
prism_00081,Prism,Clay,0.42,0.1,,0,1,0,,,,,,
prism_00082,Prism,Clay,0.42,0.1,,0,1,0,,,,,,
prism_00083,Prism,Clay,0.42,0.1,,0,1,0,,,,,,
prism_00084,Prism,Clay,0.43,0.1,,0,1,0,,,,,,
prism_00085,Prism,Clay,0.43,0.05,,0,1,0,,,,,,
prism_00086,Prism,Clay,0.43,0.05,,0,1,0,,,,,,
prism_00087,Prism,Clay,0.43,0.05,,0,1,0,,,,,,
prism_00088,Prism,Clay,0.43,0.05,,0,1,0,,,,,,
prism_00089,Prism,Clay,0.43,0.075,,0,1,0,,,,,,
prism_00090,Prism,Clay,0.43,0.075,,0,1,0,,,,,,
prism_00091,Prism,Clay,0.43,0.075,,0,1,0,,,,,,
prism_00092,Prism,Clay,0.43,0.075,,0,1,0,,,,,,
prism_00093,Prism,Clay,0.43,0.1,,0,1,0,,,,,,
prism_00094,Prism,Clay,0.43,0.1,,0,1,0,,,,,,
prism_00095,Prism,Clay,0.43,0.1,,0,1,0,,,,,,
prism_00096,Prism,Clay,0.43,0.1,,0,1,0,,,,,,
prism_00097,Prism,Steel,0.28,190,300,0,1,0,-0.09,-0.08,0,,,
prism_00098,Prism,Steel,0.28,190,500,0,1,0,-0.07,0.08,0,,,
prism_00099,Prism,Steel,0.28,190,800,0,1,0,-0.07,0.065,0,,,
prism_00100,Prism,Steel,0.28,190,1000,0,1,0,-0.05,0.054,0,,,
prism_00101,Prism,Steel,0.28,200,1200,0,1,0,-0.06,-0.036,0,,,
prism_00102,Prism,Steel,0.28,200,1400,0,1,0,-0.03,0.099,0,,,
prism_00103,Prism,Steel,0.28,200,1100,0,1,0,-0.02,-0.02,0,,,
prism_00104,Prism,Steel,0.28,200,1300,0,1,0,-0.015,0.035,0,,,
prism_00105,Prism,Steel,0.28,210,600,0,1,0,-0.099,0.077,0,,,
prism_00106,Prism,Steel,0.28,210,900,0,1,0,-0.05,0,0,,,
prism_00107,Prism,Steel,0.28,210,1000,0,1,0,-0.05,0.035,0,,,
prism_00108,Prism,Steel,0.28,210,1500,0,1,0,-0.07,0.065,0,,,
prism_00109,Prism,Steel,0.29,190,1500,0,1,0,-0.075,0.099,0,,,
prism_00110,Prism,Steel,0.29,190,1100,0,1,0,-0.015,-0.099,0,,,
prism_00111,Prism,Steel,0.29,190,950,0,1,0,-0.03,-0.063,0,,,
prism_00112,Prism,Steel,0.29,190,1050,0,1,0,-0.08,0.01,0,,,
prism_00113,Prism,Steel,0.29,200,1250,0,1,0,-0.093,0.017,0,,,
prism_00114,Prism,Steel,0.29,200,1600,0,1,0,-0.087,0.032,0,,,
prism_00115,Prism,Steel,0.29,200,1700,0,1,0,-0.03,-0.09,0,,,
prism_00116,Prism,Steel,0.29,200,1800,0,1,0,-0.02,0.043,0,,,
prism_00117,Prism,Steel,0.29,210,1650,0,1,0,-0.05,0.099,0,,,
prism_00118,Prism,Steel,0.29,210,1750,0,1,0,-0.05,0,0,,,
prism_00119,Prism,Steel,0.29,210,2000,0,1,0,0,0.099,0,,,
prism_00120,Prism,Steel,0.29,210,1400,0,1,0,-0.087,0.063,0,,,
prism_00121,Prism,Steel,0.29,190,,0,1,0,,,,,,
prism_00122,Prism,Steel,0.3,190,,0,1,0,,,,,,
prism_00123,Prism,Steel,0.3,190,,0,1,0,,,,,,
prism_00124,Prism,Steel,0.3,190,,0,1,0,,,,,,
prism_00125,Prism,Steel,0.3,200,,0,1,0,,,,,,
prism_00126,Prism,Steel,0.3,200,,0,1,0,,,,,,
prism_00127,Prism,Steel,0.3,200,,0,1,0,,,,,,
prism_00128,Prism,Steel,0.3,200,,0,1,0,,,,,,
prism_00129,Prism,Steel,0.3,210,,0,1,0,,,,,,
prism_00130,Prism,Steel,0.3,210,,0,1,0,,,,,,
prism_00131,Prism,Steel,0.3,210,,0,1,0,,,,,,
prism_00132,Prism,Steel,0.3,210,,0,1,0,,,,,,
prism_00133,Prism,Steel,0.3,190,,0,1,0,,,,,,
prism_00134,Prism,Steel,0.31,190,,0,1,0,,,,,,
prism_00135,Prism,Steel,0.31,190,,0,1,0,,,,,,
prism_00136,Prism,Steel,0.31,190,,0,1,0,,,,,,
prism_00137,Prism,Steel,0.31,200,,0,1,0,,,,,,
prism_00138,Prism,Steel,0.31,200,,0,1,0,,,,,,
prism_00139,Prism,Steel,0.31,200,,0,1,0,,,,,,
prism_00140,Prism,Steel,0.31,200,,0,1,0,,,,,,
prism_00141,Prism,Steel,0.31,210,,0,1,0,,,,,,
prism_00142,Prism,Steel,0.31,210,,0,1,0,,,,,,
prism_00143,Prism,Steel,0.31,210,,0,1,0,,,,,,
prism_00144,Prism,Steel,0.31,210,,0,1,0,,,,,,
